F1,clean_pos,Salary,ex_1_duartion,schools.university_1.study_field,schools.university_2.study_field,clean_comp
259,MD Candidate,102194,3 yrs,,Medical Sciences/Clinical Investigation,Tufts University School of Medicine
260,Operations,77449,3 yrs 11 mos,Strategy and Innovation,Management; Community & Cultural Engagement,EPAM Continuum
261,Systems Engineer,94001,6 yrs 5 mos,Infomation Science,,Avanade
262,Associate,44300,1 yr 1 mo,Business and Commercial Law Concentration,"History, Spanish, Pre-Law",Holland & Knight LLP
263,Senior Research Engineer I,119374,3 yrs 4 mos,Mechanical Engineering,Mechanical Engineering,Saint-Gobain Research North America
265,Senior Human Factors,104834,2 yrs,Mechanical Engineering,,"NxStage Medical, Inc."
266,Senior Integration Engineer,104864,3 yrs 3 mos,Computer Science,,SessionM
267,Project Engineer,88039,2 yrs 11 mos,Civil and Environmental Engineering,,Woodard & Curran
268,Senior Manager,142841,4 yrs 4 mos,Accounting,Accounting and Finance,PricewaterhouseCoopers LLP
269,Vice President,176785,2 mos,Nonprofit Management,Communication Studies,Atlantic Global Risk | M&A Insurance
270,Software Engineer,125429,8 yrs 11 mos,Compuer Science,,HubSpot
271,Senior Software Engineer,146928,2 yrs 6 mos,Electrical Engineering,,Wayfair
272,Director Of Communications,110577,5 yrs 3 mos,"Political Science, Public Policy, Public Relations",,Boston Planning & Development Agency
273,Software Engineer,75842,3 yrs 1 mo,Computer Systems Engineering,Information Systems & Management,TraceLink
274,Senior User Experience Designer,112964,2 yrs 5 mos,Human Factors and Information Design,Graphic Design,Fidelity Investments
275,Acquisition Program Manager,99560,12 yrs,"Business, Management, Marketing, and Related Support Services","Acquisition, Logistics, Finance, and Management",United States Air Force
276,Social Media Supervisor,61023,7 mos,"Communication, General",Digital Communication and Media/Multimedia,Ogilvy
277,Senior Manager,170302,2 yrs 8 mos,Accounting,Accounting and Finance,PwC
278,Program Manager,88719,2 yrs 5 mos,Public Health candidate,Leadership Studies,"Hildebrand Family Self-Help Center, Inc."
280,Buyer,97000,1 yr 4 mos,"Logistics, Materials, and Supply Chain Management",Spanish Language and Literature,"The TJX Companies, Inc."
281,Technical Lead,137928,6 yrs 8 mos,Computer Science,,HubSpot
282,Lead Software Developer,110131,7 yrs 11 mos,Computer Engineering,,"Rakuten USA, Inc"
283,Senior Software Engineer,137463,9 yrs 9 mos,Computer Science,Chemistry,MathWorks
286,Senior Product Manager,145545,2 yrs 6 mos,"Communication and Media Studies, Business",,eBay
287,VP of Engineering,215648,7 mos,Information Systems,,SmartKargo
288,Operation Lead,62227,3 yrs 1 mo,Biotechnology,Pharmacy,Broad Institute of MIT and Harvard
289,Technical Lead,137928,2 yrs 5 mos,Computer Science,,HubSpot
290,Senior Strategy Analyst,62968,1 yr 1 mo,Business Administration; Management,,Tufts Health Plan
291,Clinical Trial Manager,117309,2 yrs 8 mos,Biology,Clinical Trial Management,Apellis
